"community",".y.","group1","group2","n1","n2","statistic","p","p.adj","p.adj.signif"
"1","proportion","allo_totpig","but_totpig",30489,30489,105.631205772938,0,0,"****"
"1","proportion","allo_totpig","chla_total",30489,30489,263.91307713815,0,0,"****"
"1","proportion","allo_totpig","chlb_totpig",30489,30489,165.845166918258,0,0,"****"
"1","proportion","allo_totpig","dvchla_totpig",30489,30489,-11.5157754385914,1.09866739879825e-30,1.19854625323446e-30,"****"
"1","proportion","allo_totpig","fuco_totpig",30489,30489,273.095017907092,0,0,"****"
"1","proportion","allo_totpig","hex_totpig",30489,30489,333.084185784138,0,0,"****"
"1","proportion","allo_totpig","per_totpig",30489,30489,88.0995830794756,0,0,"****"
"1","proportion","allo_totpig","zea_totpig",30489,30489,98.6734340281292,0,0,"****"
"1","proportion","but_totpig","chla_total",30489,30489,158.281871365212,0,0,"****"
"1","proportion","but_totpig","chlb_totpig",30489,30489,60.2139611453206,0,0,"****"
"1","proportion","but_totpig","dvchla_totpig",30489,30489,-117.146981211529,0,0,"****"
"1","proportion","but_totpig","fuco_totpig",30489,30489,167.463812134154,0,0,"****"
"1","proportion","but_totpig","hex_totpig",30489,30489,227.452980011201,0,0,"****"
"1","proportion","but_totpig","per_totpig",30489,30489,-17.5316226934621,8.21900521059583e-69,9.24638086192031e-69,"****"
"1","proportion","but_totpig","zea_totpig",30489,30489,-6.9577717448085,3.45696703142309e-12,3.45696703142309e-12,"****"
"1","proportion","chla_total","chlb_totpig",30489,30489,-98.0679102198917,0,0,"****"
"1","proportion","chla_total","dvchla_totpig",30489,30489,-275.428852576741,0,0,"****"
"1","proportion","chla_total","fuco_totpig",30489,30489,9.18194076894149,4.23390707282713e-20,4.35487584633648e-20,"****"
"1","proportion","chla_total","hex_totpig",30489,30489,69.1711086459883,0,0,"****"
"1","proportion","chla_total","per_totpig",30489,30489,-175.813494058674,0,0,"****"
"1","proportion","chla_total","zea_totpig",30489,30489,-165.239643110021,0,0,"****"
"1","proportion","chlb_totpig","dvchla_totpig",30489,30489,-177.36094235685,0,0,"****"
"1","proportion","chlb_totpig","fuco_totpig",30489,30489,107.249850988833,0,0,"****"
"1","proportion","chlb_totpig","hex_totpig",30489,30489,167.23901886588,0,0,"****"
"1","proportion","chlb_totpig","per_totpig",30489,30489,-77.7455838387828,0,0,"****"
"1","proportion","chlb_totpig","zea_totpig",30489,30489,-67.1717328901291,0,0,"****"
"1","proportion","dvchla_totpig","fuco_totpig",30489,30489,284.610793345683,0,0,"****"
"1","proportion","dvchla_totpig","hex_totpig",30489,30489,344.59996122273,0,0,"****"
"1","proportion","dvchla_totpig","per_totpig",30489,30489,99.6153585180669,0,0,"****"
"1","proportion","dvchla_totpig","zea_totpig",30489,30489,110.189209466721,0,0,"****"
"1","proportion","fuco_totpig","hex_totpig",30489,30489,59.9891678770468,0,0,"****"
"1","proportion","fuco_totpig","per_totpig",30489,30489,-184.995434827616,0,0,"****"
"1","proportion","fuco_totpig","zea_totpig",30489,30489,-174.421583878962,0,0,"****"
"1","proportion","hex_totpig","per_totpig",30489,30489,-244.984602704663,0,0,"****"
"1","proportion","hex_totpig","zea_totpig",30489,30489,-234.410751756009,0,0,"****"
"1","proportion","per_totpig","zea_totpig",30489,30489,10.5738509486536,3.93977143764836e-26,4.1715226986865e-26,"****"
"2","proportion","allo_totpig","but_totpig",14833,14833,0.418930259472225,0.675267101696377,0.838262609002399,"ns"
