"pigment",".y.","group1","group2","n1","n2","statistic","p","p.adj","p.adj.signif"
"allo_totpig","proportion","1","2",30489,14833,-65.7168892942406,0,0,"****"
"allo_totpig","proportion","1","3",30489,31808,-67.3520961689657,0,0,"****"
"allo_totpig","proportion","1","4",30489,19918,-72.2095222027556,0,0,"****"
"allo_totpig","proportion","1","5",30489,94745,-97.9412041250622,0,0,"****"
"allo_totpig","proportion","1","6",30489,8207,261.29399218168,0,0,"****"
"allo_totpig","proportion","2","3",14833,31808,11.8744410612963,1.60704575335458e-32,2.00880719169323e-32,"****"
"allo_totpig","proportion","2","4",14833,19918,0,1,1,"ns"
"allo_totpig","proportion","2","5",14833,94745,1.47236282394924,0.140922926578428,0.150988849905459,"ns"
"allo_totpig","proportion","2","6",14833,8207,284.011576729583,0,0,"****"
"allo_totpig","proportion","3","4",31808,19918,-13.0662517260475,5.1333248677267e-39,6.99998845599095e-39,"****"
"allo_totpig","proportion","3","5",31808,94745,-16.2127085515372,4.10089618557466e-59,6.151344278362e-59,"****"
"allo_totpig","proportion","3","6",31808,8207,306.051387483604,0,0,"****"
"allo_totpig","proportion","4","5",19918,94745,1.66791242352084,0.0953331130759854,0.109999745856906,"ns"
"allo_totpig","proportion","4","6",19918,8207,297.878652350986,0,0,"****"
"allo_totpig","proportion","5","6",94745,8207,338.435591572788,0,0,"****"
"but_totpig","proportion","1","2",30489,14833,-160.225334603181,0,0,"****"
"but_totpig","proportion","1","3",30489,31808,-50.3464071386731,0,0,"****"
"but_totpig","proportion","1","4",30489,19918,-174.599703631008,0,0,"****"
"but_totpig","proportion","1","5",30489,94745,-230.785023967346,0,0,"****"
"but_totpig","proportion","1","6",30489,8207,-127.259503431926,0,0,"****"
"but_totpig","proportion","2","3",14833,31808,120.739200609635,0,0,"****"
"but_totpig","proportion","2","4",14833,19918,1.22262156705611,0.221472663381858,0.237292139337704,"ns"
"but_totpig","proportion","2","5",14833,94745,9.56023302529368,1.1749185975909e-21,1.76237789638635e-21,"****"
"but_totpig","proportion","2","6",14833,8207,1.5573635821792,0.119384187410782,0.137750985473979,"ns"
"but_totpig","proportion","3","4",31808,19918,-131.390030504007,0,0,"****"
"but_totpig","proportion","3","5",31808,94745,-172.223516001313,0,0,"****"
"but_totpig","proportion","3","6",31808,8207,-95.2308148725284,0,0,"****"
"but_totpig","proportion","4","5",19918,94745,9.12886901413634,6.92186119859612e-20,9.43890163444926e-20,"****"
"but_totpig","proportion","4","6",19918,8207,0.622505429001552,0.533609575048226,0.533609575048226,"ns"
"but_totpig","proportion","5","6",94745,8207,-5.47453573326098,4.38660122779974e-08,5.48325153474967e-08,"****"
"chla_total","proportion","1","2",30489,14833,-201.313384657214,0,0,"****"
"chla_total","proportion","1","3",30489,31808,17.2507489746976,1.1045815280925e-66,1.27451714779903e-66,"****"
"chla_total","proportion","1","4",30489,19918,-269.878549252291,0,0,"****"
"chla_total","proportion","1","5",30489,94745,-202.003321115343,0,0,"****"
"chla_total","proportion","1","6",30489,8207,13.2734413317998,3.30067608170273e-40,3.53643865896721e-40,"****"
"chla_total","proportion","2","3",14833,31808,216.599457265424,0,0,"****"
"chla_total","proportion","2","4",14833,19918,-40.8902324511218,0,0,"****"
"chla_total","proportion","2","5",14833,94745,77.6033295298908,0,0,"****"
"chla_total","proportion","2","6",14833,8207,158.487785044808,0,0,"****"
"chla_total","proportion","3","4",31808,19918,-287.418816812244,0,0,"****"
"chla_total","proportion","3","5",31808,94745,-226.584449874484,0,0,"****"
"chla_total","proportion","3","6",31808,8207,2.1648322302679,0.0304005356105719,0.0304005356105719,"*"
"chla_total","proportion","4","5",19918,94745,144.802624451402,0,0,"****"
"chla_total","proportion","4","6",19918,8207,200.035252274649,0,0,"****"
"chla_total","proportion","5","6",94745,8207,129.935864533781,0,0,"****"
"chlb_totpig","proportion","1","2",30489,14833,-269.719520709463,0,0,"****"
"chlb_totpig","proportion","1","3",30489,31808,-331.452550505357,0,0,"****"
"chlb_totpig","proportion","1","4",30489,19918,-296.367005930293,0,0,"****"
"chlb_totpig","proportion","1","5",30489,94745,-410.005532354928,0,0,"****"
"chlb_totpig","proportion","1","6",30489,8207,-178.47423881168,0,0,"****"
"chlb_totpig","proportion","2","3",14833,31808,4.38248246197622,1.17334614036303e-05,1.46668267545379e-05,"****"
"chlb_totpig","proportion","2","4",14833,19918,0,1,1,"ns"
"chlb_totpig","proportion","2","5",14833,94745,0.0561256634530486,0.955241699678473,1,"ns"
"chlb_totpig","proportion","2","6",14833,8207,34.9383715194237,1.94472976380936e-267,3.24121627301559e-267,"****"
"chlb_totpig","proportion","3","4",31808,19918,-4.82234226752887,1.41882216136671e-06,1.93475749277279e-06,"****"
"chlb_totpig","proportion","3","5",31808,94745,-6.64758069803443,2.97949639029092e-11,4.46924458543637e-11,"****"
"chlb_totpig","proportion","3","6",31808,8207,35.3033241372543,5.22165071584681e-273,9.79059509221277e-273,"****"
"chlb_totpig","proportion","4","5",19918,94745,0.0635799069556765,0.949304731292465,1,"ns"
"chlb_totpig","proportion","4","6",19918,8207,36.6442633901971,5.64746098295376e-294,1.21017021063295e-293,"****"
"chlb_totpig","proportion","5","6",94745,8207,41.729398948371,0,0,"****"
"dvchla_totpig","proportion","1","2",30489,14833,-0.124502492759902,0.900917426800991,1,"ns"
"dvchla_totpig","proportion","1","3",30489,31808,-0.272872399034172,0.784951304012121,1,"ns"
"dvchla_totpig","proportion","1","4",30489,19918,365.376280537942,0,0,"****"
"dvchla_totpig","proportion","1","5",30489,94745,-0.375130846831528,0.707563156920584,1,"ns"
"dvchla_totpig","proportion","1","6",30489,8207,-0.198620894322088,0.842559307939998,1,"ns"
"dvchla_totpig","proportion","2","3",14833,31808,-0.0946082435353479,0.924626001815389,1,"ns"
"dvchla_totpig","proportion","2","4",14833,19918,307.048943624679,0,0,"****"
"dvchla_totpig","proportion","2","5",14833,94745,-0.138572149221854,0.8897882526415,1,"ns"
"dvchla_totpig","proportion","2","6",14833,8207,-0.0889427323218387,0.929127422624092,1,"ns"
"dvchla_totpig","proportion","3","4",31808,19918,368.649080503553,0,0,"****"
"dvchla_totpig","proportion","3","5",31808,94745,-0.0436653030505151,0.965171196978075,1,"ns"
"dvchla_totpig","proportion","3","6",31808,8207,-0.0228546911657176,0.98176618215678,1,"ns"
"dvchla_totpig","proportion","4","5",19918,94745,-427.368798539446,0,0,"****"
"dvchla_totpig","proportion","4","6",19918,8207,-253.96990887297,0,0,"****"
"dvchla_totpig","proportion","5","6",94745,8207,0,1,1,"ns"
"fuco_totpig","proportion","1","2",30489,14833,-0.84155081508907,0.400039430156322,0.400039430156322,"ns"
"fuco_totpig","proportion","1","3",30489,31808,227.303126999028,0,0,"****"
"fuco_totpig","proportion","1","4",30489,19918,-76.005256196501,0,0,"****"
"fuco_totpig","proportion","1","5",30489,94745,185.487690164854,0,0,"****"
"fuco_totpig","proportion","1","6",30489,8207,126.937496311224,0,0,"****"
"fuco_totpig","proportion","2","3",14833,31808,184.077901066404,0,0,"****"
"fuco_totpig","proportion","2","4",14833,19918,-63.0713604906038,0,0,"****"
"fuco_totpig","proportion","2","5",14833,94745,139.265298664217,0,0,"****"
"fuco_totpig","proportion","2","6",14833,8207,115.354957203628,0,0,"****"
"fuco_totpig","proportion","3","4",31808,19918,-278.256729833204,0,0,"****"
"fuco_totpig","proportion","3","5",31808,94745,-92.6638221642179,0,0,"****"
"fuco_totpig","proportion","3","6",31808,8207,-19.6465077789975,6.19299543975334e-86,6.63535225687858e-86,"****"
"fuco_totpig","proportion","4","5",19918,94745,245.515793078919,0,0,"****"
"fuco_totpig","proportion","4","6",19918,8207,173.136406970519,0,0,"****"
"fuco_totpig","proportion","5","6",94745,8207,31.0466484471863,1.26610812203749e-211,1.46089398696634e-211,"****"
"hex_totpig","proportion","1","2",30489,14833,198.003104378123,0,0,"****"
"hex_totpig","proportion","1","3",30489,31808,-21.559348905341,4.32650943392849e-103,4.63554582206624e-103,"****"
"hex_totpig","proportion","1","4",30489,19918,-82.7348073937205,0,0,"****"
"hex_totpig","proportion","1","5",30489,94745,205.038320337766,0,0,"****"
"hex_totpig","proportion","1","6",30489,8207,-30.4231618013116,2.71370211615399e-203,3.39212764519249e-203,"****"
"hex_totpig","proportion","2","3",14833,31808,-216.739674378233,0,0,"****"
"hex_totpig","proportion","2","4",14833,19918,-252.266774402128,0,0,"****"
"hex_totpig","proportion","2","5",14833,94745,-71.5873685217264,0,0,"****"
"hex_totpig","proportion","2","6",14833,8207,-171.581139968409,0,0,"****"
"hex_totpig","proportion","3","4",31808,19918,-64.2976433370847,0,0,"****"
"hex_totpig","proportion","3","5",31808,94745,234.997137103616,0,0,"****"
"hex_totpig","proportion","3","6",31808,8207,-16.6012726598879,6.8228823337733e-62,6.8228823337733e-62,"****"
"hex_totpig","proportion","4","5",19918,94745,269.895645891562,0,0,"****"
"hex_totpig","proportion","4","6",19918,8207,28.622483030399,3.52841412438076e-180,4.07124706659319e-180,"****"
"hex_totpig","proportion","5","6",94745,8207,-150.206987704518,0,0,"****"
"per_totpig","proportion","1","2",30489,14833,-96.193339549269,0,0,"****"
"per_totpig","proportion","1","3",30489,31808,-9.65189543578538,4.82554257177392e-22,5.17022418404349e-22,"****"
"per_totpig","proportion","1","4",30489,19918,-105.696954961453,0,0,"****"
"per_totpig","proportion","1","5",30489,94745,191.2287648866,0,0,"****"
"per_totpig","proportion","1","6",30489,8207,62.5042523141987,0,0,"****"
"per_totpig","proportion","2","3",14833,31808,89.072346480979,0,0,"****"
"per_totpig","proportion","2","4",14833,19918,0,1,1,"ns"
"per_totpig","proportion","2","5",14833,94745,251.646840208842,0,0,"****"
"per_totpig","proportion","2","6",14833,8207,126.49637587149,0,0,"****"
"per_totpig","proportion","3","4",31808,19918,-98.0123354810888,0,0,"****"
"per_totpig","proportion","3","5",31808,94745,206.238442446859,0,0,"****"
"per_totpig","proportion","3","6",31808,8207,69.0291421485622,0,0,"****"
"per_totpig","proportion","4","5",19918,94745,285.0689275068,0,0,"****"
"per_totpig","proportion","4","6",19918,8207,132.672655128281,0,0,"****"
"per_totpig","proportion","5","6",94745,8207,-41.8742601995365,0,0,"****"
"zea_totpig","proportion","1","2",30489,14833,65.6917170853399,0,0,"****"
"zea_totpig","proportion","1","3",30489,31808,-143.543948783159,0,0,"****"
"zea_totpig","proportion","1","4",30489,19918,137.700470117319,0,0,"****"
"zea_totpig","proportion","1","5",30489,94745,-126.455691624898,0,0,"****"
"zea_totpig","proportion","1","6",30489,8207,-74.2545715847553,0,0,"****"
"zea_totpig","proportion","2","3",14833,31808,-181.853817889435,0,0,"****"
"zea_totpig","proportion","2","4",14833,19918,55.0388481128937,0,0,"****"
"zea_totpig","proportion","2","5",14833,94745,-168.768193390037,0,0,"****"
"zea_totpig","proportion","2","6",14833,8207,-114.92275210435,0,0,"****"
"zea_totpig","proportion","3","4",31808,19918,266.168149446476,0,0,"****"
"zea_totpig","proportion","3","5",31808,94745,49.0497624920228,0,0,"****"
"zea_totpig","proportion","3","6",31808,8207,18.3406829911334,3.91843202010088e-75,4.19832002153666e-75,"****"
"zea_totpig","proportion","4","5",19918,94745,-267.761052188595,0,0,"****"
"zea_totpig","proportion","4","6",19918,8207,-166.041594052713,0,0,"****"
"zea_totpig","proportion","5","6",94745,8207,-7.88936955562663,3.0371690341193e-15,3.0371690341193e-15,"****"
