"year","fod","n_days","log_mean","var_log","sd_log","mean_c","ymin","ymax","letter","y","pigment"
"2018","1",53,-1.1162338069747,0.0173449389916283,0.131700185996939,0.0765184550901209,0.0565022844300389,0.103625437952489,"a",3.27692407462319,"Fuco"
"2018","2",54,-1.17189304167828,0.0217244549872902,0.147392180889253,0.067314241781511,0.0479418487499204,0.0945146519120677,"a",2.98881572300122,"Fuco"
"2018","3",54,-1.15834897607324,0.00737292310723985,0.0858657271979912,0.0694466057135467,0.0569882468378331,0.0846285210151623,"ab",2.67618881419338,"Fuco"
"2018","4",54,-1.1137918102721,0.0147466613393431,0.121435832188622,0.0769499230243258,0.0581798178928611,0.101775682150704,"a",3.21842966013568,"Fuco"
"2018","5",54,-1.42609131453891,0.0141786469675797,0.119074123837128,0.0374894168899012,0.0284993241901705,0.0493154283016141,"a",1.5594907721983,"Fuco"
"2018","6",54,-1.91549924206696,0.0191572703953465,0.138409791544336,0.0121478874052515,0.00883264887809265,0.0167074645949851,"a",0.528336420467756,"Fuco"
"2018","7",51,-1.19374559552201,0.0135761989688534,0.116516947131537,0.0640109694229129,0.0489482824423356,0.083708845377529,"a",2.64710611695849,"Fuco"
"2018","8",24,-1.09718426071499,0.0162261114961775,0.12738175495799,0.0799494976527144,0.0596257677780565,0.107200668655771,"a",3.38998279645258,"Fuco"
"2018","9",54,-1.18721623015918,0.0260765548482601,0.16148236698866,0.0649806078917876,0.0448024127612007,0.0942466965895855,"a",2.98034223169914,"Fuco"
"2018","10",54,-1.17480188921603,0.02169953724999,0.14730762794231,0.0668648863514818,0.0476310859123172,0.0938654439881332,"a",2.9682859658546,"Fuco"
"2018","11",49,-1.49423072678368,0.0314419158828503,0.17731868452831,0.0320456638844297,0.0213034817605242,0.0482045416489972,"a",1.5243614517528,"Fuco"
"2018","12",54,-1.10754286358663,0.0185673267110045,0.136261978229455,0.0780651388342099,0.0570420543620595,0.106836367822999,"a",3.37846259260201,"Fuco"
"2018","13",54,-1.8142789734606,0.0248701558043752,0.157702745075586,0.0153363152257617,0.0106664102014014,0.0220507706213124,"a",0.697306593252736,"Fuco"
"2018",NA,51,-1.03718342556463,0.0282962673684056,0.168214943950903,0.0917944817878776,0.0623162958500355,0.135217069175336,"ab",4.27593917126609,"Fuco"
"2021","1",54,-1.25975916706498,0.0344730644539325,0.185669233999423,0.0549845699844955,0.0358568057881215,0.0843160139317661,"b",2.6663064725087,"Fuco"
"2021","2",54,-1.23521711442649,0.0277136381085414,0.166474136455311,0.0581812282873382,0.0396559856843153,0.0853605140966705,"ab",2.69933646788389,"Fuco"
"2021","3",54,-1.13907490311186,0.00826799811921059,0.0909285330312251,0.0725980736166746,0.0588838996436041,0.0895063051997537,"a",2.83043789377394,"Fuco"
"2021","4",54,-1.19602447846359,0.0177858748201428,0.133363693785613,0.0636759629738818,0.0468394544122161,0.086564378503813,"b",2.73740600308968,"Fuco"
"2021","5",54,-1.52477054272651,0.0227695865263108,0.150895946023446,0.0298696034734718,0.0211024806760502,0.0422790678195011,"b",1.33698151658352,"Fuco"
"2021","6",54,-2.02829691034165,0.00816878165774995,0.090381312547174,0.00936921251095376,0.00760889826007798,0.0115367744547175,"b",0.364824841285545,"Fuco"
"2021","7",54,-1.3984087397624,0.0427790890773754,0.20683106410154,0.0399568515602458,0.0248176237513476,0.0643312995073037,"b",2.03433431281547,"Fuco"
"2021","8",25,-1.15209355378499,0.0635138161414475,0.252019475718539,0.0704541283470685,0.0394354653956344,0.125871069387575,"a",3.98039270785832,"Fuco"
"2021","9",54,-1.12194878963841,0.0124538466986114,0.111596804159489,0.0755181270532742,0.0584055887584798,0.0976445514010244,"a",3.08779183532622,"Fuco"
"2021","10",53,-1.17409091403463,0.0143574603377389,0.1198226203091,0.0669744392257339,0.0508260624398582,0.0882534529388193,"a",2.7908192266115,"Fuco"
"2021","11",51,-1.52182912715508,0.0218570772035105,0.147841392050773,0.0300725927384587,0.0213958468603491,0.0422680551004114,"a",1.33663326382797,"Fuco"
"2021","12",54,-1.22601468576535,0.0245102778674392,0.156557586425696,0.0594272062832655,0.0414407615538929,0.085220268986636,"b",2.69490152809979,"Fuco"
