"year","fod","n_days"
"2018","C1",21
"2018","C2",24
"2018","C3",24
"2018","C4",24
"2018","C5",24
"2018","C6",4
"2018","T1-2",20
"2018","T1-3",7
"2018","T2-3",16
"2018","T3-4",20
"2018","T4-6",8
"2018","T4-5",24
"2018","T5-6",11
"2018",NA,20
"2021","C1",32
"2021","C2",43
"2021","C3",50
"2021","C4",50
"2021","C5",50
"2021","C6",21
"2021","T1-2",17
"2021","T1-3",2
"2021","T2-3",39
"2021","T3-4",39
"2021","T4-6",16
"2021","T4-5",47
"2021","T5-6",12
"2021",NA,42
"2022","C1",16
"2022","C2",29
"2022","C3",31
"2022","C4",31
"2022","C5",31
"2022","C6",13
"2022","T1-2",5
"2022","T1-3",1
"2022","T2-3",30
"2022","T3-4",30
"2022","T4-6",14
"2022","T4-5",28
"2022","T5-6",7
"2022",NA,30
"2023","C1",28
"2023","C2",28
"2023","C3",27
"2023","C4",28
"2023","C5",28
"2023","C6",23
"2023","T1-2",19
"2023","T1-3",1
"2023","T2-3",24
"2023","T3-4",28
"2023","T4-6",23
"2023","T4-5",28
"2023","T5-6",9
"2023",NA,27
