"year","fod","n_days"
"2018","C1",24
"2018","C2",24
"2018","C3",24
"2018","C4",24
"2018","C5",24
"2018","C6",17
"2018","T1-2",23
"2018","T1-3",8
"2018","T2-3",22
"2018","T3-4",24
"2018","T4-6",16
"2018","T4-5",24
"2018","T5-6",21
"2018",NA,20
"2021","C1",49
"2021","C2",50
"2021","C3",50
"2021","C4",50
"2021","C5",50
"2021","C6",34
"2021","T1-2",46
"2021","T1-3",9
"2021","T2-3",48
"2021","T3-4",47
"2021","T4-6",37
"2021","T4-5",50
"2021","T5-6",27
"2021",NA,47
"2022","C1",29
"2022","C2",31
"2022","C3",31
"2022","C4",31
"2022","C5",31
"2022","C6",26
"2022","T1-2",26
"2022","T1-3",6
"2022","T2-3",31
"2022","T3-4",30
"2022","T4-6",22
"2022","T4-5",28
"2022","T5-6",16
"2022",NA,30
"2023","C1",27
"2023","C2",28
"2023","C3",28
"2023","C4",28
"2023","C5",28
"2023","C6",23
"2023","T1-2",26
"2023","T1-3",2
"2023","T2-3",27
"2023","T3-4",27
"2023","T4-6",25
"2023","T4-5",28
"2023","T5-6",14
"2023",NA,27
