"year","fod","n_days"
"2018","C1",5
"2018","C2",5
"2018","C3",10
"2018","C4",14
"2018","C5",24
"2018","C6",24
"2018","T1-2",1
"2018","T2-3",1
"2018","T3-4",3
"2018","T4-6",17
"2018","T4-5",8
"2018","T5-6",24
"2018",NA,1
"2021","C1",45
"2021","C2",40
"2021","C3",21
"2021","C4",39
"2021","C5",50
"2021","C6",50
"2021","T1-2",39
"2021","T2-3",8
"2021","T3-4",17
"2021","T4-6",36
"2021","T4-5",24
"2021","T5-6",50
"2021",NA,13
"2022","C1",29
"2022","C2",28
"2022","C3",31
"2022","C4",31
"2022","C5",31
"2022","C6",31
"2022","T1-2",29
"2022","T2-3",19
"2022","T3-4",26
"2022","T4-6",27
"2022","T4-5",26
"2022","T5-6",31
"2022",NA,4
"2023","C1",24
"2023","C2",24
"2023","C3",26
"2023","C4",27
"2023","C5",28
"2023","C6",28
"2023","T1-2",20
"2023","T2-3",14
"2023","T3-4",19
"2023","T4-6",24
"2023","T4-5",10
"2023","T5-6",28
"2023",NA,7
