"ratio_name","year","n_days"
"allo_chla","2018",24
"allo_chla","2021",50
"allo_chla","2022",31
"allo_chla","2023",28
"but_chla","2018",24
"but_chla","2021",50
"but_chla","2022",31
"but_chla","2023",28
"chla_chla","2018",24
"chla_chla","2021",50
"chla_chla","2022",31
"chla_chla","2023",28
"chlb_chla","2018",24
"chlb_chla","2021",50
"chlb_chla","2022",31
"chlb_chla","2023",28
"dvchla_chla","2018",24
"dvchla_chla","2021",50
"dvchla_chla","2022",31
"dvchla_chla","2023",28
"fuco_chla","2018",24
"fuco_chla","2021",50
"fuco_chla","2022",31
"fuco_chla","2023",28
"hex_chla","2018",24
"hex_chla","2021",50
"hex_chla","2022",31
"hex_chla","2023",28
"per_chla","2018",24
"per_chla","2021",50
"per_chla","2022",31
"per_chla","2023",28
"zea_chla","2018",24
"zea_chla","2021",50
"zea_chla","2022",31
"zea_chla","2023",28
