"year","fod","n_days"
"2018","C1",24
"2018","C2",24
"2018","C3",24
"2018","C4",24
"2018","C5",24
"2018","C6",24
"2018","T1-2",24
"2018","T1-3",15
"2018","T2-3",24
"2018","T3-4",24
"2018","T4-6",20
"2018","T4-5",24
"2018","T5-6",24
"2018",NA,22
"2021","C1",50
"2021","C2",50
"2021","C3",50
"2021","C4",50
"2021","C5",50
"2021","C6",50
"2021","T1-2",50
"2021","T1-3",23
"2021","T2-3",50
"2021","T3-4",49
"2021","T4-6",47
"2021","T4-5",50
"2021","T5-6",50
"2021",NA,47
"2022","C1",31
"2022","C2",31
"2022","C3",31
"2022","C4",31
"2022","C5",31
"2022","C6",31
"2022","T1-2",31
"2022","T1-3",10
"2022","T2-3",31
"2022","T3-4",31
"2022","T4-6",30
"2022","T4-5",31
"2022","T5-6",31
"2022",NA,31
"2023","C1",28
"2023","C2",28
"2023","C3",28
"2023","C4",28
"2023","C5",28
"2023","C6",28
"2023","T1-2",28
"2023","T1-3",8
"2023","T2-3",28
"2023","T3-4",28
"2023","T4-6",27
"2023","T4-5",28
"2023","T5-6",28
"2023",NA,28
