"year","fod","n_days","m","var_v","sd_v","mean_c","ymin","ymax","letter","val_min","val_max","y","variable"
"2018","C1",24,1,0,0,1,1,1,"a",1,1,1.175,"chla_chla"
"2018","C2",24,1,0,0,1,1,1,"a",1,1,1.175,"chla_chla"
"2018","C3",24,1,0,0,1,1,1,"a",1,1,1.175,"chla_chla"
"2018","C4",24,1,0,0,1,1,1,"a",1,1,1.175,"chla_chla"
"2018","C5",24,1,0,0,1,1,1,"a",1,1,1.175,"chla_chla"
"2018","C6",24,1,0,0,1,1,1,"a",1,1,1.175,"chla_chla"
"2018","T1-2",24,1,0,0,1,1,1,"a",1,1,1.175,"chla_chla"
"2018","T1-3",15,1,0,0,1,1,1,"a",1,1,1.175,"chla_chla"
"2018","T2-3",24,1,0,0,1,1,1,"a",1,1,1.175,"chla_chla"
"2018","T3-4",24,1,0,0,1,1,1,"a",1,1,1.175,"chla_chla"
"2018","T4-6",20,1,0,0,1,1,1,"a",1,1,1.175,"chla_chla"
"2018","T4-5",24,1,0,0,1,1,1,"a",1,1,1.175,"chla_chla"
"2018","T5-6",24,1,0,0,1,1,1,"a",1,1,1.175,"chla_chla"
"2018","NA",22,1,0,0,1,1,1,"a",1,1,1.175,"chla_chla"
"2021","C1",50,1,0,0,1,1,1,"a",1,1,1.175,"chla_chla"
"2021","C2",50,1,0,0,1,1,1,"a",1,1,1.175,"chla_chla"
"2021","C3",50,1,0,0,1,1,1,"a",1,1,1.175,"chla_chla"
"2021","C4",50,1,0,0,1,1,1,"a",1,1,1.175,"chla_chla"
"2021","C5",50,1,0,0,1,1,1,"a",1,1,1.175,"chla_chla"
"2021","C6",50,1,0,0,1,1,1,"a",1,1,1.175,"chla_chla"
"2021","T1-2",50,1,0,0,1,1,1,"a",1,1,1.175,"chla_chla"
"2021","T1-3",24,1,0,0,1,1,1,"a",1,1,1.175,"chla_chla"
"2021","T2-3",50,1,0,0,1,1,1,"a",1,1,1.175,"chla_chla"
"2021","T3-4",49,1,0,0,1,1,1,"a",1,1,1.175,"chla_chla"
"2021","T4-6",47,1,0,0,1,1,1,"a",1,1,1.175,"chla_chla"
"2021","T4-5",50,1,0,0,1,1,1,"a",1,1,1.175,"chla_chla"
"2021","T5-6",50,1,0,0,1,1,1,"a",1,1,1.175,"chla_chla"
"2021","NA",48,1,0,0,1,1,1,"a",1,1,1.175,"chla_chla"
"2022","C1",31,1,0,0,1,1,1,"a",1,1,1.175,"chla_chla"
"2022","C2",31,1,0,0,1,1,1,"a",1,1,1.175,"chla_chla"
"2022","C3",31,1,0,0,1,1,1,"a",1,1,1.175,"chla_chla"
"2022","C4",31,1,0,0,1,1,1,"a",1,1,1.175,"chla_chla"
"2022","C5",31,1,0,0,1,1,1,"a",1,1,1.175,"chla_chla"
"2022","C6",31,1,0,0,1,1,1,"a",1,1,1.175,"chla_chla"
"2022","T1-2",31,1,0,0,1,1,1,"a",1,1,1.175,"chla_chla"
"2022","T1-3",12,1,0,0,1,1,1,"a",1,1,1.175,"chla_chla"
"2022","T2-3",31,1,0,0,1,1,1,"a",1,1,1.175,"chla_chla"
"2022","T3-4",31,1,0,0,1,1,1,"a",1,1,1.175,"chla_chla"
"2022","T4-6",31,1,0,0,1,1,1,"a",1,1,1.175,"chla_chla"
"2022","T4-5",31,1,0,0,1,1,1,"a",1,1,1.175,"chla_chla"
"2022","T5-6",31,1,0,0,1,1,1,"a",1,1,1.175,"chla_chla"
"2022","NA",31,1,0,0,1,1,1,"a",1,1,1.175,"chla_chla"
"2023","C1",28,1,0,0,1,1,1,"a",1,1,1.175,"chla_chla"
"2023","C2",28,1,0,0,1,1,1,"a",1,1,1.175,"chla_chla"
"2023","C3",28,1,0,0,1,1,1,"a",1,1,1.175,"chla_chla"
"2023","C4",28,1,0,0,1,1,1,"a",1,1,1.175,"chla_chla"
"2023","C5",28,1,0,0,1,1,1,"a",1,1,1.175,"chla_chla"
"2023","C6",28,1,0,0,1,1,1,"a",1,1,1.175,"chla_chla"
"2023","T1-2",28,1,0,0,1,1,1,"a",1,1,1.175,"chla_chla"
"2023","T1-3",8,1,0,0,1,1,1,"a",1,1,1.175,"chla_chla"
"2023","T2-3",28,1,0,0,1,1,1,"a",1,1,1.175,"chla_chla"
"2023","T3-4",28,1,0,0,1,1,1,"a",1,1,1.175,"chla_chla"
"2023","T4-6",27,1,0,0,1,1,1,"a",1,1,1.175,"chla_chla"
"2023","T4-5",28,1,0,0,1,1,1,"a",1,1,1.175,"chla_chla"
"2023","T5-6",28,1,0,0,1,1,1,"a",1,1,1.175,"chla_chla"
"2023","NA",28,1,0,0,1,1,1,"a",1,1,1.175,"chla_chla"
