"fod","year","n_days","log_mean","var_log","sd_log","mean_c","ymin","ymax","letter","y"
"1","2018",24,-1.36693868612886,0.000916671252211347,0.0302765792686583,0.0429597073172812,0.0400668070501389,0.0460614805286827,"a",1.45659190870134
"1","2021",50,-1.33742464989007,0.00142372851650667,0.03773232720767,0.0459806758101525,0.042154410745319,0.0501542427133349,"b",1.58601641295042
"1","2022",31,-1.32788575990065,0.00128179073139724,0.0358021051252191,0.0470017729357502,0.0432824797959765,0.0510406674829472,"bc",1.61404762541407
"1","2023",28,-1.30759549522226,0.000630896787198324,0.0251176588717644,0.0492498038080461,0.0464822182916207,0.0521821734047552,"c",1.6501452121689
"2","2018",24,-1.37274393777768,0.000750547187509357,0.0273961162851481,0.0423892821735108,0.0397978807105177,0.0451494202984192,"a",1.42775003179244
"2","2021",50,-1.35065229345447,0.00122895603838602,0.0350564692800918,0.0446013194315583,0.0411425529994288,0.0483508569597886,"b",1.52898834813936
"2","2022",31,-1.35307717510497,0.00156760495817331,0.0395929912758977,0.044352982068269,0.0404883271647774,0.0485865224893641,"ab",1.53644074653385
"2","2023",28,-1.30206067301597,0.000445012464380815,0.0210953185418191,0.0498814795779631,0.0475164523871702,0.0523642208095184,"c",1.65590205658064
"3","2018",24,-1.37721029922944,0.000606632444413165,0.0246299095494313,0.0419555772517622,0.0396423864801637,0.044403746061287,"a",1.40416974197397
"3","2021",50,-1.35761118168268,0.00184130007455248,0.0429103725753166,0.0438923484524658,0.0397629361435583,0.0484506034895712,"a",1.53214261036747
"3","2022",31,-1.32220809111389,0.00145674292561999,0.0381673017859528,0.0476202760772015,0.0436138682285448,0.0519947160335736,"b",1.64421728959769
"3","2023",28,-1.30728617045902,0.000427793950381975,0.0206831803739651,0.0492848943078655,0.0469927271290476,0.0516888666679665,"b",1.63454548343532
"4","2018",24,-1.30947079784061,0.00222240375426962,0.0471423774779086,0.0490375994789294,0.0439933288128966,0.0546602457132311,"ab",1.72850873918265
"4","2021",50,-1.32129571658544,0.000944684006695412,0.0307357122366704,0.0477204228633908,0.0444599091763532,0.0512200497132825,"a",1.61972018961027
"4","2022",31,-1.30755502595746,0.000367540286200314,0.0191713402296322,0.049254393311943,0.0471274166295772,0.0514773657040437,"ab",1.62785723570215
"4","2023",28,-1.30068593206935,0.000284817811780927,0.0168765462041535,0.050039627480282,0.0481324005005954,0.0520224275607118,"b",1.64509360502967
"5","2018",24,-1.32027914023245,0.000342087655646868,0.0184956117943384,0.0478322554481137,0.0458379564837717,0.049913321551837,"a",1.57839781688175
"5","2021",50,-1.29554551367419,0.000264548930945736,0.0162649602196174,0.0506354281266281,0.0487741293960481,0.0525677569915716,"b",1.66233843579607
"5","2022",31,-1.29647802279518,0.00026325848063301,0.0162252420824162,0.0505268213079999,0.0486739660805841,0.0524502085419524,"b",1.65862122743389
"5","2023",28,-1.3022435352527,0.000276405841374008,0.01662545762901,0.0498604811097371,0.0479878184477246,0.0518062220145024,"b",1.63825658534184
"6","2018",24,-1.24753679187586,0.000233297798071944,0.015274089107765,0.0565539844545924,0.0545995569996577,0.0585783719400934,"a",1.85241076955191
"6","2021",50,-1.25933851734541,0.000399592818362418,0.0199898178671647,0.0550378528370491,0.0525619737228951,0.0576303557564701,"a",1.82243186556241
"6","2022",31,-1.25633942167003,0.000292581512205991,0.0171050142416191,0.0554192416084888,0.0532789385591475,0.0576455241699394,"a",1.82291153291296
"6","2023",28,-1.25597098702585,0.000285217726474549,0.0168883902866599,0.055466276587855,0.053350761499695,0.0576656780904247,"a",1.82354885583811
"7","2018",24,-1.35194305792997,0.00206235603057512,0.0454131702326002,0.044468956865801,0.0400538043258486,0.0493707940610351,"a",1.56124159123985
"7","2021",50,-1.32104128491937,0.0013159498131494,0.0362760225651794,0.0477483880908422,0.0439220591542027,0.0519080527911799,"bc",1.64147675724389
"7","2022",31,-1.32957672407672,0.00158399827157659,0.0397994757701227,0.0468191231664562,0.0427192677795811,0.0513124500491449,"ab",1.62264214478917
