"year","fod","n_days"
"2018","C1",2
"2018","T3-4",1
"2018","T4-5",1
"2018","C2",10
"2018","C3",9
"2018","C4",5
"2018","C5",2
"2018","T1-2",2
"2018","T2-3",5
"2018","NA",6
"2021","C1",5
"2021","T3-4",4
"2021","T5-6",1
"2021","C2",16
"2021","C3",8
"2021","C4",1
"2021","C5",2
"2021","C6",1
"2021","T1-2",2
"2021","T2-3",3
"2021","NA",10
"2022","T3-4",2
"2022","T4-6",2
"2022","T4-5",1
"2022","T5-6",1
"2022","C2",7
"2022","C3",6
"2022","C4",5
"2022","C5",3
"2022","C6",6
"2022","T2-3",4
"2022","NA",2
"2023","T3-4",3
"2023","T4-6",2
"2023","T4-5",3
"2023","T5-6",3
"2023","C2",8
"2023","C3",9
"2023","C4",5
"2023","C5",9
"2023","C6",7
"2023","T2-3",4
"2023","NA",3
