"ratio_name","year","n_days"
"allo_totpig","2018",24
"allo_totpig","2021",50
"allo_totpig","2022",31
"allo_totpig","2023",28
"but_totpig","2018",24
"but_totpig","2021",50
"but_totpig","2022",31
"but_totpig","2023",28
"chlb_totpig","2018",24
"chlb_totpig","2021",50
"chlb_totpig","2022",31
"chlb_totpig","2023",28
"dvchla_totpig","2018",24
"dvchla_totpig","2021",50
"dvchla_totpig","2022",31
"dvchla_totpig","2023",28
"fuco_totpig","2018",24
"fuco_totpig","2021",50
"fuco_totpig","2022",31
"fuco_totpig","2023",28
"hex_totpig","2018",24
"hex_totpig","2021",50
"hex_totpig","2022",31
"hex_totpig","2023",28
"per_totpig","2018",24
"per_totpig","2021",50
"per_totpig","2022",31
"per_totpig","2023",28
"zea_totpig","2018",24
"zea_totpig","2021",50
"zea_totpig","2022",31
"zea_totpig","2023",28
