"fod","year","n_days","tot","pct","letter"
"0","2018",6,318,1.88679245283019,NA
"0","2021",14,664,2.10843373493976,NA
"0","2022",8,411,1.94647201946472,NA
"0","2023",4,368,1.08695652173913,NA
"C1","2018",24,318,7.54716981132075,NA
"C1","2021",50,664,7.53012048192771,NA
"C1","2022",31,411,7.54257907542579,NA
"C1","2023",28,368,7.60869565217391,NA
"T3-4","2018",24,318,7.54716981132075,NA
"T3-4","2021",50,664,7.53012048192771,NA
"T3-4","2022",31,411,7.54257907542579,NA
"T3-4","2023",28,368,7.60869565217391,NA
"T4-6","2018",24,318,7.54716981132075,NA
"T4-6","2021",50,664,7.53012048192771,NA
"T4-6","2022",31,411,7.54257907542579,NA
"T4-6","2023",28,368,7.60869565217391,NA
"T4-5","2018",24,318,7.54716981132075,NA
"T4-5","2021",50,664,7.53012048192771,NA
"T4-5","2022",31,411,7.54257907542579,NA
"T4-5","2023",28,368,7.60869565217391,NA
"T5-6","2018",24,318,7.54716981132075,NA
"T5-6","2021",50,664,7.53012048192771,NA
"T5-6","2022",31,411,7.54257907542579,NA
"T5-6","2023",28,368,7.60869565217391,NA
"C2","2018",24,318,7.54716981132075,NA
"C2","2021",50,664,7.53012048192771,NA
"C2","2022",31,411,7.54257907542579,NA
"C2","2023",28,368,7.60869565217391,NA
"C3","2018",24,318,7.54716981132075,NA
"C3","2021",50,664,7.53012048192771,NA
"C3","2022",31,411,7.54257907542579,NA
"C3","2023",28,368,7.60869565217391,NA
"C4","2018",24,318,7.54716981132075,NA
"C4","2021",50,664,7.53012048192771,NA
"C4","2022",31,411,7.54257907542579,NA
"C4","2023",28,368,7.60869565217391,NA
"C5","2018",24,318,7.54716981132075,NA
"C5","2021",50,664,7.53012048192771,NA
"C5","2022",31,411,7.54257907542579,NA
"C5","2023",28,368,7.60869565217391,NA
"C6","2018",24,318,7.54716981132075,NA
"C6","2021",50,664,7.53012048192771,NA
"C6","2022",31,411,7.54257907542579,NA
"C6","2023",28,368,7.60869565217391,NA
"T1-2","2018",24,318,7.54716981132075,NA
"T1-2","2021",50,664,7.53012048192771,NA
"T1-2","2022",31,411,7.54257907542579,NA
"T1-2","2023",28,368,7.60869565217391,NA
"T1-3","2018",24,318,7.54716981132075,NA
"T1-3","2021",50,664,7.53012048192771,NA
"T1-3","2022",31,411,7.54257907542579,NA
"T1-3","2023",28,368,7.60869565217391,NA
"T2-3","2018",24,318,7.54716981132075,NA
"T2-3","2021",50,664,7.53012048192771,NA
"T2-3","2022",31,411,7.54257907542579,NA
"T2-3","2023",28,368,7.60869565217391,NA
