"combination","validation","FOD_0","log","dist_thr","n_initial","n_removed","percent_removed","n_remaining","mtry","nodesize","ntree","RMSE","RMSE_sd","R2","R2_sd","MAE","MAE_sd"
1,"LOYO",FALSE,FALSE,0.25,191,25,13.0890052356021,166,4,1,100,1.33059847485552,0.559596862889392,-0.758443955186487,0.697325552558428,1.08354974366054,0.485481693270114
2,"LOYO",FALSE,FALSE,0.25,191,25,13.0890052356021,166,9,1,100,1.30705880828789,0.525059922837808,-0.688966791204202,0.608880965162862,1.04543585288515,0.497547883142472
3,"LOYO",FALSE,FALSE,0.25,191,25,13.0890052356021,166,4,3,100,1.34662898601551,0.589151634837638,-0.782876248080591,0.711548263868967,1.10165152766461,0.523892863924859
4,"LOYO",FALSE,FALSE,0.25,191,25,13.0890052356021,166,9,3,100,1.3507372497122,0.53432316269754,-0.798798030699409,0.62014640883297,1.06702967825605,0.503438225634907
5,"LOYO",FALSE,FALSE,0.25,191,25,13.0890052356021,166,4,5,100,1.32723036004213,0.558534661173444,-0.749423458256231,0.694078927178324,1.08406157435029,0.494825136721166
6,"LOYO",FALSE,FALSE,0.25,191,25,13.0890052356021,166,9,5,100,1.38295018370302,0.543806216917888,-0.85603702118505,0.550500864369852,1.09267529259168,0.507725715169451
7,"LOYO",FALSE,FALSE,0.25,191,25,13.0890052356021,166,4,10,100,1.27726464558056,0.561985593573801,-0.633922343800947,0.714846578658866,1.05146401425412,0.485321051196525
8,"LOYO",FALSE,FALSE,0.25,191,25,13.0890052356021,166,9,10,100,1.35816202783336,0.497583892648684,-0.805791931625936,0.501515937086592,1.06829518319851,0.475986220428623
9,"LOYO",FALSE,FALSE,0.25,191,25,13.0890052356021,166,4,1,300,1.3166149068999,0.553639806394697,-0.738625429694566,0.725540764091803,1.07274813989845,0.491767604389135
10,"LOYO",FALSE,FALSE,0.25,191,25,13.0890052356021,166,9,1,300,1.37205968326474,0.546606644953231,-0.844230774467134,0.612165359040273,1.08536766467063,0.517578880637243
11,"LOYO",FALSE,FALSE,0.25,191,25,13.0890052356021,166,4,3,300,1.30811431082671,0.554272671507107,-0.722871232521662,0.738984904887343,1.07086475295228,0.492208097525547
12,"LOYO",FALSE,FALSE,0.25,191,25,13.0890052356021,166,9,3,300,1.33951320926282,0.511561677580714,-0.759953293427441,0.544687610928337,1.05750979364921,0.484346081414425
13,"LOYO",FALSE,FALSE,0.25,191,25,13.0890052356021,166,4,5,300,1.31653501068667,0.558955353434023,-0.73077922416621,0.714818672906758,1.07070201487178,0.495738668691807
14,"LOYO",FALSE,FALSE,0.25,191,25,13.0890052356021,166,9,5,300,1.34562394107194,0.538344266838418,-0.777221250560541,0.603531835073628,1.06512319397803,0.501794753828701
15,"LOYO",FALSE,FALSE,0.25,191,25,13.0890052356021,166,4,10,300,1.31949734935666,0.531741734033928,-0.753257229779126,0.71235581556445,1.07584894155912,0.463753284929353
16,"LOYO",FALSE,FALSE,0.25,191,25,13.0890052356021,166,9,10,300,1.34764341250183,0.492974881725495,-0.79063836985713,0.539034355307319,1.06561403377807,0.466465552503849
17,"LOYO",FALSE,FALSE,0.25,191,25,13.0890052356021,166,4,1,500,1.32091663543109,0.559630556516451,-0.732599707699665,0.69337040918829,1.07477548772275,0.500064652306723
18,"LOYO",FALSE,FALSE,0.25,191,25,13.0890052356021,166,9,1,500,1.35879442809628,0.526814285023734,-0.811665530974753,0.579251493909234,1.07110781906253,0.49114306454349
19,"LOYO",FALSE,FALSE,0.25,191,25,13.0890052356021,166,4,3,500,1.32739516982796,0.555358227713336,-0.752384770265454,0.695182367306225,1.07750418391444,0.493142799254823
20,"LOYO",FALSE,FALSE,0.25,191,25,13.0890052356021,166,9,3,500,1.37179554415904,0.528901671664168,-0.829844396850032,0.528525632045117,1.08246818752274,0.49340871740606
21,"LOYO",FALSE,FALSE,0.25,191,25,13.0890052356021,166,4,5,500,1.32577812265974,0.536820215818451,-0.750407679883278,0.669579386933368,1.06846725668003,0.483615703134563
22,"LOYO",FALSE,FALSE,0.25,191,25,13.0890052356021,166,9,5,500,1.34845333962859,0.523626378140321,-0.800098109706839,0.622075507376845,1.06568351305177,0.49567176839543
23,"LOYO",FALSE,FALSE,0.25,191,25,13.0890052356021,166,4,10,500,1.31131349019317,0.532322454286599,-0.729855291947822,0.704574176549254,1.06784883199039,0.466987725008679
24,"LOYO",FALSE,FALSE,0.25,191,25,13.0890052356021,166,9,10,500,1.35028282263904,0.503540422787659,-0.79779522113759,0.560753603911574,1.0674139898527,0.475423720131537
25,"RS",FALSE,FALSE,0.25,191,25,13.0890052356021,166,4,1,100,0.598507994459308,0.0670579819941407,0.603252968340056,0.0749008089235462,0.4704761644543,0.0612473399362274
26,"RS",FALSE,FALSE,0.25,191,25,13.0890052356021,166,9,1,100,0.580248092984369,0.056981517118473,0.62480476230153,0.0805008029931943,0.447430867865036,0.0506690294183694
27,"RS",FALSE,FALSE,0.25,191,25,13.0890052356021,166,4,3,100,0.606560934405936,0.0663740044582267,0.594024810942233,0.0682757314124557,0.481440552520165,0.0629547283420808
28,"RS",FALSE,FALSE,0.25,191,25,13.0890052356021,166,9,3,100,0.579894943877152,0.0673172123231348,0.625905626804555,0.0817322898735562,0.448938271081936,0.064826563772312
29,"RS",FALSE,FALSE,0.25,191,25,13.0890052356021,166,4,5,100,0.600151780575231,0.0652134482868345,0.602911845226178,0.0632085679123881,0.470483709388709,0.0610938684153497
30,"RS",FALSE,FALSE,0.25,191,25,13.0890052356021,166,9,5,100,0.582147312370109,0.0600866308175411,0.621511250563827,0.0868220804217339,0.451759607666515,0.0490613695620488
31,"RS",FALSE,FALSE,0.25,191,25,13.0890052356021,166,4,10,100,0.620294118278135,0.0558211679556656,0.573953966495078,0.0686527650357209,0.490267015794363,0.059115777229186
32,"RS",FALSE,FALSE,0.25,191,25,13.0890052356021,166,9,10,100,0.582835508592688,0.0606208084169906,0.621636629069739,0.0793802943453951,0.45646503034776,0.0494168329982452
33,"RS",FALSE,FALSE,0.25,191,25,13.0890052356021,166,4,1,300,0.603566144987691,0.0628727463774946,0.59736068685013,0.0660780150258804,0.474779446052102,0.0577138079799262
34,"RS",FALSE,FALSE,0.25,191,25,13.0890052356021,166,9,1,300,0.57523641593212,0.0612487840301739,0.632300699358794,0.0755402456088732,0.445986765701154,0.056059084447399
35,"RS",FALSE,FALSE,0.25,191,25,13.0890052356021,166,4,3,300,0.602538579261522,0.0636369024429215,0.599185115623668,0.0656321671832284,0.476163906357973,0.0601193182557927
