"validation","FOD_0","log","dist_thr","RMSE_mean","RMSE_sd","R2_mean","MAE_mean","n_removed","n_remaining"
"LOYO",FALSE,FALSE,1,1.30135041000796,0.750917890060217,-0.727543067283775,1.05746134498698,93,98
"LOYO",TRUE,FALSE,1,1.30803152300154,0.752386706658218,-0.742663113403917,1.06460570279138,93,98
"LOYO",FALSE,FALSE,0.75,1.31537181150742,0.628175454365854,-0.725857774389797,1.06998121787885,77,114
"LOYO",TRUE,FALSE,0.75,1.32283278385683,0.620043452760476,-0.765628750128799,1.07658438246094,77,114
"LOYO",FALSE,TRUE,1,1.32521565055913,0.798803742251171,-0.737875314678568,1.07012591260993,93,98
"LOYO",FALSE,TRUE,0.75,1.32859393262049,0.661613210998879,-0.727885422504811,1.07256786471816,77,114
"LOYO",FALSE,FALSE,0.5,1.33054553892757,0.559897325374484,-0.799861126455401,1.07637312493287,56,135
"LOYO",TRUE,TRUE,1,1.33064620863265,0.795903845661027,-0.752920430947983,1.07653378199928,93,98
"LOYO",FALSE,FALSE,0.25,1.33587342135568,0.538548049833105,-0.766520303874087,1.072217111334,25,166
"LOYO",TRUE,FALSE,0.5,1.34323725889356,0.551593566751191,-0.84198083514429,1.08543599971872,56,135
"LOYO",TRUE,TRUE,0.75,1.34699930645312,0.653601311842718,-0.79991529888748,1.08848196727688,77,114
"LOYO",TRUE,FALSE,0.25,1.34732438257307,0.533262281937763,-0.808419104324435,1.08199743419358,25,166
"LOYO",FALSE,TRUE,0.5,1.34790636560714,0.591352256431522,-0.825573604152151,1.08644857598508,56,135
"LOYO",TRUE,TRUE,0.5,1.35620110764552,0.578478366397254,-0.871621438513329,1.09150296281206,56,135
"LOYO",FALSE,TRUE,0.25,1.35649632926283,0.584250648555307,-0.78644547284203,1.08114249588972,25,166
"LOYO",TRUE,TRUE,0.25,1.36741053830318,0.577588626206024,-0.844343019541872,1.09373215938859,25,166
"RS",FALSE,TRUE,0.25,0.583839765981945,0.0676071410178568,0.617529004948548,0.453715106463818,25,166
"RS",TRUE,TRUE,0.25,0.585670364367376,0.0688682618785077,0.615072758808725,0.456271161392642,25,166
"RS",FALSE,FALSE,0.25,0.591224227781434,0.0618181071736578,0.612164422860693,0.463688596474675,25,166
"RS",TRUE,FALSE,0.25,0.596452014501461,0.0631305770206789,0.605379231101856,0.469829342135983,25,166
"RS",TRUE,TRUE,0.5,0.639523442274432,0.0959834381399293,0.541755921566332,0.480346044894124,56,135
"RS",FALSE,TRUE,0.5,0.639688526628778,0.0944159453654763,0.541127077130349,0.479031523516489,56,135
"RS",FALSE,FALSE,0.5,0.641259980764736,0.090755396702648,0.545184087838931,0.487526259071874,56,135
"RS",TRUE,FALSE,0.5,0.644157602228444,0.090487092793805,0.541295893208552,0.490229515183048,56,135
"RS",FALSE,TRUE,0.75,0.655962442434629,0.107565977581808,0.464385269353899,0.522227266484949,77,114
"RS",TRUE,TRUE,0.75,0.66000289905401,0.106466781494696,0.457438142512974,0.527655042939424,77,114
"RS",FALSE,FALSE,0.75,0.669024299030049,0.105437424412775,0.456443215161883,0.538872052838349,77,114
"RS",TRUE,FALSE,0.75,0.671793457651244,0.104570435840015,0.452074473664989,0.542602672354575,77,114
"RS",TRUE,TRUE,1,0.763506564773755,0.159958628878128,0.399058908103179,0.591832527160038,93,98
"RS",FALSE,TRUE,1,0.763591611252211,0.155724504051277,0.398663517391563,0.590357681355754,93,98
"RS",TRUE,FALSE,1,0.773297539289901,0.153363699660158,0.394097629651403,0.607610362617632,93,98
"RS",FALSE,FALSE,1,0.773774824553016,0.149915997819446,0.39431889943628,0.606027104835071,93,98
